horizon,beta,beta_signed,type,reported_scale,cumulative,product,spec
0,0.04538123757928627,0.04538123757928627,total,signed,0.04538123757928627,cap_30_89,macro
1,0.032337848555696755,0.032337848555696755,total,signed,0.07771908613498302,cap_30_89,macro
2,0.008203497350165566,0.008203497350165566,total,signed,0.08592258348514858,cap_30_89,macro
3,-0.006356220760514401,-0.006356220760514401,total,signed,0.07956636272463419,cap_30_89,macro
4,0.0024634135953356417,0.0024634135953356417,total,signed,0.08202977631996983,cap_30_89,macro
5,-2.6141524431034775e-4,-2.6141524431034775e-4,total,signed,0.08176836107565948,cap_30_89,macro
6,-0.002022719556510387,-0.002022719556510387,total,signed,0.07974564151914909,cap_30_89,macro
0,0.04647007802733504,0.04647007802733504,total,signed,0.04647007802733504,cap_90_1y,macro
1,0.022580550177636074,0.022580550177636074,total,signed,0.06905062820497111,cap_90_1y,macro
2,0.0033751038652647222,0.0033751038652647222,total,signed,0.07242573207023584,cap_90_1y,macro
3,-0.008745360929426915,-0.008745360929426915,total,signed,0.06368037114080892,cap_90_1y,macro
4,-0.006264544372527976,-0.006264544372527976,total,signed,0.05741582676828095,cap_90_1y,macro
5,0.0027562467343347943,0.0027562467343347943,total,signed,0.06017207350261574,cap_90_1y,macro
6,-0.0033358761641988956,-0.0033358761641988956,total,signed,0.05683619733841685,cap_90_1y,macro
0,0.34041935002546614,0.34041935002546614,total,signed,0.34041935002546614,comercial_cuotas,macro
1,0.413530365989727,0.413530365989727,total,signed,0.7539497160151931,comercial_cuotas,macro
2,0.28512839958241415,0.28512839958241415,total,signed,1.0390781155976072,comercial_cuotas,macro
3,-0.04567813229609129,-0.04567813229609129,total,signed,0.993399983301516,comercial_cuotas,macro
4,0.012322756819297632,0.012322756819297632,total,signed,1.0057227401208135,comercial_cuotas,macro
5,0.013013317838350288,0.013013317838350288,total,signed,1.018736057959164,comercial_cuotas,macro
6,-0.07086082793599273,-0.07086082793599273,total,signed,0.9478752300231712,comercial_cuotas,macro
0,0.39396797566772107,0.39396797566772107,total,signed,0.39396797566772107,comercial_sobregiro,macro
1,0.3999559353267345,0.3999559353267345,total,signed,0.7939239109944556,comercial_sobregiro,macro
2,0.23229342599471886,0.23229342599471886,total,signed,1.0262173369891745,comercial_sobregiro,macro
3,0.028220721429675865,0.028220721429675865,total,signed,1.0544380584188504,comercial_sobregiro,macro
4,0.05824846454722947,0.05824846454722947,total,signed,1.1126865229660798,comercial_sobregiro,macro
5,0.1288812200610599,0.1288812200610599,total,signed,1.2415677430271397,comercial_sobregiro,macro
6,0.07664506451121454,0.07664506451121454,total,signed,1.3182128075383541,comercial_sobregiro,macro
0,0.4014549555219756,0.4014549555219756,total,signed,0.4014549555219756,comercial_total,macro
1,0.4903847302340061,0.4903847302340061,total,signed,0.8918396857559816,comercial_total,macro
2,0.25113901366674074,0.25113901366674074,total,signed,1.1429786994227225,comercial_total,macro
3,-0.14764812370168348,-0.14764812370168348,total,signed,0.9953305757210389,comercial_total,macro
4,-0.008294737814014158,-0.008294737814014158,total,signed,0.9870358379070248,comercial_total,macro
5,0.0738730189756302,0.0738730189756302,total,signed,1.060908856882655,comercial_total,macro
6,0.03687568820479293,0.03687568820479293,total,signed,1.097784545087448,comercial_total,macro
0,0.5107474389237534,0.5107474389237534,total,signed,0.5107474389237534,consumo_cuotas,macro
1,0.6588627625577865,0.6588627625577865,total,signed,1.16961020148154,consumo_cuotas,macro
2,-0.22872027588581118,-0.22872027588581118,total,signed,0.9408899255957288,consumo_cuotas,macro
3,-0.39231634089533285,-0.39231634089533285,total,signed,0.5485735847003959,consumo_cuotas,macro
4,-0.1551012943014009,-0.1551012943014009,total,signed,0.393472290398995,consumo_cuotas,macro
5,0.025710014552191744,0.025710014552191744,total,signed,0.41918230495118675,consumo_cuotas,macro
6,0.15116266967719577,0.15116266967719577,total,signed,0.5703449746283825,consumo_cuotas,macro
0,0.21985421954462056,0.21985421954462056,total,signed,0.21985421954462056,consumo_tarj_cuota,macro
1,-0.21187322753536247,-0.21187322753536247,total,signed,0.007980992009258087,consumo_tarj_cuota,macro
2,0.6628468945324797,0.6628468945324797,total,signed,0.6708278865417378,consumo_tarj_cuota,macro
3,0.353723564851582,0.353723564851582,total,signed,1.0245514513933198,consumo_tarj_cuota,macro
4,-0.11648401705293802,-0.11648401705293802,total,signed,0.9080674343403817,consumo_tarj_cuota,macro
5,-0.2455301656659192,-0.2455301656659192,total,signed,0.6625372686744626,consumo_tarj_cuota,macro
6,-0.100057814964795,-0.100057814964795,total,signed,0.5624794537096676,consumo_tarj_cuota,macro
0,0.08534035968117591,0.08534035968117591,total,signed,0.08534035968117591,consumo_tarj_rot,macro
1,0.27058322647944116,0.27058322647944116,total,signed,0.3559235861606171,consumo_tarj_rot,macro
2,0.4039315883393206,0.4039315883393206,total,signed,0.7598551744999377,consumo_tarj_rot,macro
3,0.39275902479806685,0.39275902479806685,total,signed,1.1526141992980046,consumo_tarj_rot,macro
4,-0.06132175496003416,-0.06132175496003416,total,signed,1.0912924443379703,consumo_tarj_rot,macro
5,-0.01218892365742816,-0.01218892365742816,total,signed,1.0791035206805422,consumo_tarj_rot,macro
6,-0.09690695138898678,-0.09690695138898678,total,signed,0.9821965692915554,consumo_tarj_rot,macro
0,0.26915409131562873,0.26915409131562873,total,signed,0.26915409131562873,consumo_total,macro
1,0.5864931565736339,0.5864931565736339,total,signed,0.8556472478892626,consumo_total,macro
2,0.37798611951319616,0.37798611951319616,total,signed,1.2336333674024589,consumo_total,macro
3,0.084934497497881,0.084934497497881,total,signed,1.3185678649003398,consumo_total,macro
4,-0.13856173230222485,-0.13856173230222485,total,signed,1.1800061325981148,consumo_total,macro
5,0.09861017540864672,0.09861017540864672,total,signed,1.2786163080067616,consumo_total,macro
6,-0.0558812391962409,-0.0558812391962409,total,signed,1.2227350688105207,consumo_total,macro
0,0.029913948560480835,0.029913948560480835,total,signed,0.029913948560480835,vivienda_uf,macro
1,0.0881394138296309,0.0881394138296309,total,signed,0.11805336239011174,vivienda_uf,macro
2,-0.034308771917557296,-0.034308771917557296,total,signed,0.08374459047255445,vivienda_uf,macro
3,-0.036216737406421555,-0.036216737406421555,total,signed,0.047527853066132886,vivienda_uf,macro
4,0.012744558269129198,0.012744558269129198,total,signed,0.06027241133526209,vivienda_uf,macro
5,-0.006970509610483488,-0.006970509610483488,total,signed,0.0533019017247786,vivienda_uf,macro
6,-0.04785469919914755,-0.04785469919914755,total,signed,0.005447202525631046,vivienda_uf,macro
