horizon,beta,beta_signed,type,reported_scale,cumulative,product,spec
0,0.04608987061284897,0.04608987061284897,total,signed,0.04608987061284897,cap_30_89,base
1,0.033150941501925116,0.033150941501925116,total,signed,0.07924081211477409,cap_30_89,base
2,0.008083386286381316,0.008083386286381316,total,signed,0.0873241984011554,cap_30_89,base
3,-0.006029977994709723,-0.006029977994709723,total,signed,0.08129422040644568,cap_30_89,base
4,0.0027913620452668817,0.0027913620452668817,total,signed,0.08408558245171256,cap_30_89,base
5,5.997828499349901e-4,5.997828499349901e-4,total,signed,0.08468536530164755,cap_30_89,base
6,-0.0018409116988950247,-0.0018409116988950247,total,signed,0.08284445360275253,cap_30_89,base
0,0.04775262143391584,0.04775262143391584,total,signed,0.04775262143391584,cap_90_1y,base
1,0.023512987742337395,0.023512987742337395,total,signed,0.07126560917625324,cap_90_1y,base
2,0.003176981015009879,0.003176981015009879,total,signed,0.07444259019126312,cap_90_1y,base
3,-0.0081581052163297,-0.0081581052163297,total,signed,0.06628448497493342,cap_90_1y,base
4,-0.005002825907538486,-0.005002825907538486,total,signed,0.06128165906739493,cap_90_1y,base
5,0.004065081249141235,0.004065081249141235,total,signed,0.06534674031653617,cap_90_1y,base
6,-0.0027478952384383543,-0.0027478952384383543,total,signed,0.0625988450780978,cap_90_1y,base
0,0.3546469778123185,0.3546469778123185,total,signed,0.3546469778123185,comercial_cuotas,base
1,0.43873966684190147,0.43873966684190147,total,signed,0.7933866446542199,comercial_cuotas,base
2,0.30057501659387253,0.30057501659387253,total,signed,1.0939616612480925,comercial_cuotas,base
3,-0.04028459920918646,-0.04028459920918646,total,signed,1.053677062038906,comercial_cuotas,base
4,0.014298374003975184,0.014298374003975184,total,signed,1.0679754360428813,comercial_cuotas,base
5,0.018614501962343724,0.018614501962343724,total,signed,1.086589938005225,comercial_cuotas,base
6,-0.06923923448954146,-0.06923923448954146,total,signed,1.0173507035156835,comercial_cuotas,base
0,0.3900438614751619,0.3900438614751619,total,signed,0.3900438614751619,comercial_sobregiro,base
1,0.3952816241656649,0.3952816241656649,total,signed,0.7853254856408268,comercial_sobregiro,base
2,0.24091567309156667,0.24091567309156667,total,signed,1.0262411587323934,comercial_sobregiro,base
3,0.03439398697513242,0.03439398697513242,total,signed,1.0606351457075258,comercial_sobregiro,base
4,0.06933888325162978,0.06933888325162978,total,signed,1.1299740289591558,comercial_sobregiro,base
5,0.16878398920062376,0.16878398920062376,total,signed,1.2987580181597795,comercial_sobregiro,base
6,0.11646634684963658,0.11646634684963658,total,signed,1.415224365009416,comercial_sobregiro,base
0,0.410765133287001,0.410765133287001,total,signed,0.410765133287001,comercial_total,base
1,0.5085953818517159,0.5085953818517159,total,signed,0.919360515138717,comercial_total,base
2,0.25442541644337113,0.25442541644337113,total,signed,1.173785931582088,comercial_total,base
3,-0.1274006259471184,-0.1274006259471184,total,signed,1.0463853056349697,comercial_total,base
4,-0.01128338363213025,-0.01128338363213025,total,signed,1.0351019220028395,comercial_total,base
5,0.0955061171571135,0.0955061171571135,total,signed,1.130608039159953,comercial_total,base
6,0.05547253323266127,0.05547253323266127,total,signed,1.1860805723926142,comercial_total,base
0,0.5468360596748933,0.5468360596748933,total,signed,0.5468360596748933,consumo_cuotas,base
1,0.7193963276762365,0.7193963276762365,total,signed,1.2662323873511299,consumo_cuotas,base
2,-0.1941015814685135,-0.1941015814685135,total,signed,1.0721308058826164,consumo_cuotas,base
3,-0.35906408443537013,-0.35906408443537013,total,signed,0.7130667214472463,consumo_cuotas,base
4,-0.13728600862586313,-0.13728600862586313,total,signed,0.5757807128213831,consumo_cuotas,base
5,0.05077804412968472,0.05077804412968472,total,signed,0.6265587569510678,consumo_cuotas,base
6,0.16195621342898509,0.16195621342898509,total,signed,0.7885149703800529,consumo_cuotas,base
0,0.2721087751803729,0.2721087751803729,total,signed,0.2721087751803729,consumo_tarj_cuota,base
1,-0.14664537867934674,-0.14664537867934674,total,signed,0.12546339650102617,consumo_tarj_cuota,base
2,0.7201237643604784,0.7201237643604784,total,signed,0.8455871608615046,consumo_tarj_cuota,base
3,0.3129468113726599,0.3129468113726599,total,signed,1.1585339722341645,consumo_tarj_cuota,base
4,-0.19316092408314883,-0.19316092408314883,total,signed,0.9653730481510157,consumo_tarj_cuota,base
5,-0.24550522803810346,-0.24550522803810346,total,signed,0.7198678201129122,consumo_tarj_cuota,base
6,-0.09381894414083032,-0.09381894414083032,total,signed,0.6260488759720819,consumo_tarj_cuota,base
0,0.0668379072700987,0.0668379072700987,total,signed,0.0668379072700987,consumo_tarj_rot,base
1,0.23677722844659904,0.23677722844659904,total,signed,0.30361513571669774,consumo_tarj_rot,base
2,0.3890467771864136,0.3890467771864136,total,signed,0.6926619129031113,consumo_tarj_rot,base
3,0.3530326851082962,0.3530326851082962,total,signed,1.0456945980114076,consumo_tarj_rot,base
4,-0.09603639167446189,-0.09603639167446189,total,signed,0.9496582063369456,consumo_tarj_rot,base
5,0.041272005854077136,0.041272005854077136,total,signed,0.9909302121910228,consumo_tarj_rot,base
6,-0.052056592107872925,-0.052056592107872925,total,signed,0.9388736200831499,consumo_tarj_rot,base
0,0.23658430568240166,0.23658430568240166,total,signed,0.23658430568240166,consumo_total,base
1,0.5491815486576531,0.5491815486576531,total,signed,0.7857658543400547,consumo_total,base
2,0.44297795948752156,0.44297795948752156,total,signed,1.2287438138275764,consumo_total,base
3,0.11233563183131104,0.11233563183131104,total,signed,1.3410794456588873,consumo_total,base
4,-0.1662133956479892,-0.1662133956479892,total,signed,1.1748660500108983,consumo_total,base
5,0.1031975047503642,0.1031975047503642,total,signed,1.2780635547612624,consumo_total,base
6,-0.005238261888524084,-0.005238261888524084,total,signed,1.2728252928727384,consumo_total,base
0,0.033927537810600907,0.033927537810600907,total,signed,0.033927537810600907,vivienda_uf,base
1,0.09274950131798582,0.09274950131798582,total,signed,0.12667703912858672,vivienda_uf,base
2,-0.03254648371456553,-0.03254648371456553,total,signed,0.09413055541402118,vivienda_uf,base
3,-0.016753472695067443,-0.016753472695067443,total,signed,0.07737708271895374,vivienda_uf,base
4,0.030332995286854264,0.030332995286854264,total,signed,0.10771007800580801,vivienda_uf,base
5,0.0018606093999407555,0.0018606093999407555,total,signed,0.10957068740574877,vivienda_uf,base
6,-0.024537084708843082,-0.024537084708843082,total,signed,0.08503360269690569,vivienda_uf,base
