horizon,beta,beta_signed,type,reported_scale,cumulative,product,spec
0,0.04608987061284897,0.04608987061284897,total,signed,0.04608987061284897,cap_30_89,curve
1,0.033150941501925116,0.033150941501925116,total,signed,0.07924081211477409,cap_30_89,curve
2,0.008083386286381316,0.008083386286381316,total,signed,0.0873241984011554,cap_30_89,curve
3,-0.006029977994709723,-0.006029977994709723,total,signed,0.08129422040644568,cap_30_89,curve
4,0.0027913620452668817,0.0027913620452668817,total,signed,0.08408558245171256,cap_30_89,curve
5,5.997828499349901e-4,5.997828499349901e-4,total,signed,0.08468536530164755,cap_30_89,curve
6,-0.0018409116988950247,-0.0018409116988950247,total,signed,0.08284445360275253,cap_30_89,curve
0,0.04775262143391584,0.04775262143391584,total,signed,0.04775262143391584,cap_90_1y,curve
1,0.023512987742337395,0.023512987742337395,total,signed,0.07126560917625324,cap_90_1y,curve
2,0.003176981015009879,0.003176981015009879,total,signed,0.07444259019126312,cap_90_1y,curve
3,-0.0081581052163297,-0.0081581052163297,total,signed,0.06628448497493342,cap_90_1y,curve
4,-0.005002825907538486,-0.005002825907538486,total,signed,0.06128165906739493,cap_90_1y,curve
5,0.004065081249141235,0.004065081249141235,total,signed,0.06534674031653617,cap_90_1y,curve
6,-0.0027478952384383543,-0.0027478952384383543,total,signed,0.0625988450780978,cap_90_1y,curve
0,0.2685643508991521,0.2685643508991521,total,signed,0.2685643508991521,comercial_cuotas,curve
1,0.461530128148785,0.461530128148785,total,signed,0.7300944790479371,comercial_cuotas,curve
2,0.28959663134082053,0.28959663134082053,total,signed,1.0196911103887576,comercial_cuotas,curve
3,-0.11192193124579819,-0.11192193124579819,total,signed,0.9077691791429594,comercial_cuotas,curve
4,0.02176667863503158,0.02176667863503158,total,signed,0.9295358577779911,comercial_cuotas,curve
5,0.020687628815297343,0.020687628815297343,total,signed,0.9502234865932884,comercial_cuotas,curve
6,-0.06899227163546542,-0.06899227163546542,total,signed,0.881231214957823,comercial_cuotas,curve
0,0.5387300585864636,0.5387300585864636,total,signed,0.5387300585864636,comercial_sobregiro,curve
1,0.2572931832041229,0.2572931832041229,total,signed,0.7960232417905866,comercial_sobregiro,curve
2,0.20788990884357322,0.20788990884357322,total,signed,1.0039131506341596,comercial_sobregiro,curve
3,-0.3219472219591347,-0.3219472219591347,total,signed,0.681965928675025,comercial_sobregiro,curve
4,0.4877477398656361,0.4877477398656361,total,signed,1.169713668540661,comercial_sobregiro,curve
5,0.2334663193419032,0.2334663193419032,total,signed,1.4031799878825644,comercial_sobregiro,curve
6,-0.2198813378170994,-0.2198813378170994,total,signed,1.183298650065465,comercial_sobregiro,curve
0,0.507012971325681,0.507012971325681,total,signed,0.507012971325681,comercial_total,curve
1,0.40619132503067557,0.40619132503067557,total,signed,0.9132042963563566,comercial_total,curve
2,0.3392894964729477,0.3392894964729477,total,signed,1.2524937928293043,comercial_total,curve
3,-0.2118236086564366,-0.2118236086564366,total,signed,1.0406701841728676,comercial_total,curve
4,0.007089125914082909,0.007089125914082909,total,signed,1.0477593100869507,comercial_total,curve
5,0.11131358223987903,0.11131358223987903,total,signed,1.1590728923268296,comercial_total,curve
6,0.07717027235062092,0.07717027235062092,total,signed,1.2362431646774505,comercial_total,curve
0,0.2188973152326112,0.2188973152326112,total,signed,0.2188973152326112,consumo_cuotas,curve
1,0.8312651087174142,0.8312651087174142,total,signed,1.0501624239500253,consumo_cuotas,curve
2,-0.35895962487434724,-0.35895962487434724,total,signed,0.6912027990756782,consumo_cuotas,curve
3,-0.3173581010155041,-0.3173581010155041,total,signed,0.37384469806017406,consumo_cuotas,curve
4,-0.07829155820148072,-0.07829155820148072,total,signed,0.29555313985869336,consumo_cuotas,curve
5,0.12886133923169418,0.12886133923169418,total,signed,0.42441447909038754,consumo_cuotas,curve
6,0.18296538405830398,0.18296538405830398,total,signed,0.6073798631486915,consumo_cuotas,curve
0,0.47217857929107204,0.47217857929107204,total,signed,0.47217857929107204,consumo_tarj_cuota,curve
1,-0.2862143832723155,-0.2862143832723155,total,signed,0.18596419601875652,consumo_tarj_cuota,curve
2,0.8538647150675144,0.8538647150675144,total,signed,1.0398289110862708,consumo_tarj_cuota,curve
3,0.2931075251883481,0.2931075251883481,total,signed,1.332936436274619,consumo_tarj_cuota,curve
4,-0.26815094290748925,-0.26815094290748925,total,signed,1.0647854933671297,consumo_tarj_cuota,curve
5,-0.21273185849263282,-0.21273185849263282,total,signed,0.8520536348744969,consumo_tarj_cuota,curve
6,0.1885568734412417,0.1885568734412417,total,signed,1.0406105083157386,consumo_tarj_cuota,curve
0,0.18434379126953596,0.18434379126953596,total,signed,0.18434379126953596,consumo_tarj_rot,curve
1,0.12495593040419256,0.12495593040419256,total,signed,0.30929972167372854,consumo_tarj_rot,curve
2,0.3423398040729345,0.3423398040729345,total,signed,0.6516395257466631,consumo_tarj_rot,curve
3,0.5284404405373876,0.5284404405373876,total,signed,1.1800799662840507,consumo_tarj_rot,curve
4,-0.2412571609440057,-0.2412571609440057,total,signed,0.9388228053400449,consumo_tarj_rot,curve
5,0.11049639061785863,0.11049639061785863,total,signed,1.0493191959579036,consumo_tarj_rot,curve
6,0.012942762338279389,0.012942762338279389,total,signed,1.062261958296183,consumo_tarj_rot,curve
0,0.2945128045434274,0.2945128045434274,total,signed,0.2945128045434274,consumo_total,curve
1,0.521679727513345,0.521679727513345,total,signed,0.8161925320567724,consumo_total,curve
2,0.3335087836810417,0.3335087836810417,total,signed,1.149701315737814,consumo_total,curve
3,0.16407253354225806,0.16407253354225806,total,signed,1.3137738492800721,consumo_total,curve
4,-0.23352275313910012,-0.23352275313910012,total,signed,1.0802510961409721,consumo_total,curve
5,0.33116000042022026,0.33116000042022026,total,signed,1.4114110965611923,consumo_total,curve
6,-0.182089040105018,-0.182089040105018,total,signed,1.2293220564561742,consumo_total,curve
0,0.00984885775800385,0.00984885775800385,total,signed,0.00984885775800385,vivienda_uf,curve
1,0.06709315516419258,0.06709315516419258,total,signed,0.07694201292219643,vivienda_uf,curve
2,-0.03792681860812148,-0.03792681860812148,total,signed,0.03901519431407495,vivienda_uf,curve
3,0.022229992976062173,0.022229992976062173,total,signed,0.06124518729013712,vivienda_uf,curve
4,0.02758121652410851,0.02758121652410851,total,signed,0.08882640381424563,vivienda_uf,curve
5,-0.01000000721468396,-0.01000000721468396,total,signed,0.07882639659956167,vivienda_uf,curve
6,-0.02427549434690806,-0.02427549434690806,total,signed,0.05455090225265361,vivienda_uf,curve
